type	time	latitude	longitude	name	id
T	2025-02-19 10:43:48	19.198432403	99.842971212	locations	735
T	2025-02-19 10:43:49	19.198432635	99.842976370		736
T	2025-02-19 10:43:49	19.198432659	99.842976716		737
T	2025-02-19 10:43:50	19.198563891	99.843098559		738
T	2025-02-19 10:43:51	19.198555006	99.843617398		739
T	2025-02-19 10:43:53	19.198488537	99.844014198		740
T	2025-02-19 10:43:56	19.198404718	99.844481070		741
T	2025-02-19 10:43:59	19.198376806	99.844943499		742
T	2025-02-19 10:44:02	19.198354514	99.845397497		743
T	2025-02-19 10:44:05	19.198354343	99.845866050		744
T	2025-02-19 10:44:08	19.198360786	99.846313186		745
T	2025-02-19 10:44:11	19.198562233	99.846746960		746
T	2025-02-19 10:44:14	19.198736905	99.847150373		747
T	2025-02-19 10:44:17	19.198780390	99.847529203		748
T	2025-02-19 10:44:21	19.198886509	99.847923442		749
T	2025-02-19 10:44:24	19.199172868	99.848119440		750
T	2025-02-19 10:44:27	19.199507474	99.848323659		751
T	2025-02-19 10:44:30	19.199703812	99.848683821		752
T	2025-02-19 10:44:33	19.199768385	99.849062304		753
T	2025-02-19 10:44:37	19.199620250	99.849537932		754
T	2025-02-19 10:44:41	19.199452905	99.850000636		755
T	2025-02-19 10:44:45	19.199500720	99.850510511		756
T	2025-02-19 10:44:49	19.199682858	99.850967040		757
T	2025-02-19 10:44:52	19.199883001	99.851347918		758
T	2025-02-19 10:44:55	19.200119826	99.851750153		759
T	2025-02-19 10:44:58	19.200315097	99.852181346		760
T	2025-02-19 10:45:01	19.200416915	99.852654344		761
T	2025-02-19 10:45:04	19.200535954	99.853107939		762
T	2025-02-19 10:45:07	19.200733097	99.853526991		763
T	2025-02-19 10:45:10	19.200922980	99.853891239		764
T	2025-02-19 10:45:14	19.200919924	99.854342474		765
T	2025-02-19 10:45:17	19.200749169	99.854606495		766
T	2025-02-19 10:45:20	19.200709032	99.854962667		767
T	2025-02-19 10:45:23	19.200858772	99.855308991		768
T	2025-02-19 10:45:26	19.201032115	99.855689874		769
T	2025-02-19 10:45:29	19.201146850	99.856112886		770
T	2025-02-19 10:45:32	19.201189678	99.856579841		771
T	2025-02-19 10:45:35	19.201187699	99.857019453		772
T	2025-02-19 10:45:38	19.201209868	99.857464313		773
T	2025-02-19 10:45:41	19.201344597	99.857886794		774
T	2025-02-19 10:45:44	19.201478607	99.858342655		775
T	2025-02-19 10:45:47	19.201576528	99.858826083		776
T	2025-02-19 10:45:50	19.201595554	99.859343594		777
T	2025-02-19 10:45:53	19.201629068	99.859851235		778
T	2025-02-19 10:45:56	19.201657415	99.860356076		779
T	2025-02-19 10:45:59	19.201702917	99.860848142		780
T	2025-02-19 10:46:02	19.201743903	99.861334748		781
T	2025-02-19 10:46:05	19.201753617	99.861806178		782
T	2025-02-19 10:46:08	19.201781091	99.862278622		783
T	2025-02-19 10:46:11	19.201789186	99.862752461		784
T	2025-02-19 10:46:14	19.201897371	99.863211623		785
T	2025-02-19 10:46:17	19.202064827	99.863647008		786
T	2025-02-19 10:46:20	19.202239308	99.864088279		787
T	2025-02-19 10:46:23	19.202400071	99.864527676		788
T	2025-02-19 10:46:26	19.202572116	99.864959662		789
T	2025-02-19 10:46:29	19.202723759	99.865392256		790
T	2025-02-19 10:46:32	19.202880249	99.865814672		791
T	2025-02-19 10:46:35	19.203056969	99.866252442		792
T	2025-02-19 10:46:38	19.203215007	99.866671354		793
T	2025-02-19 10:46:41	19.203372064	99.867078208		794
T	2025-02-19 10:46:44	19.203528816	99.867484094		795
T	2025-02-19 10:46:47	19.203675261	99.867876850		796
T	2025-02-19 10:46:50	19.203818604	99.868298232		797
T	2025-02-19 10:46:53	19.203958323	99.868729879		798
T	2025-02-19 10:46:56	19.204127679	99.869158483		799
T	2025-02-19 10:46:59	19.204312138	99.869573283		800
T	2025-02-19 10:47:02	19.204510251	99.869978315		801
T	2025-02-19 10:47:05	19.204688316	99.870380438		802
T	2025-02-19 10:47:08	19.204808758	99.870750836		803
T	2025-02-19 10:47:12	19.204919592	99.871156256		804
T	2025-02-19 10:49:03	19.204947480	99.871385149		805
T	2025-02-19 10:49:04	19.204947480	99.871385149		806
T	2025-02-19 10:49:05	19.204179473	99.871773860		807
T	2025-02-19 10:49:06	19.203246983	99.872321223		808
T	2025-02-19 10:49:09	19.202736051	99.872209002		809
T	2025-02-19 10:49:12	19.202240822	99.872311416		810
T	2025-02-19 10:49:15	19.201714690	99.872430442		811
T	2025-02-19 10:49:18	19.201153106	99.872563647		812
T	2025-02-19 10:49:21	19.200600277	99.872752972		813
T	2025-02-19 10:49:24	19.200051605	99.873001164		814
T	2025-02-19 10:49:27	19.199513371	99.873333019		815
T	2025-02-19 10:49:30	19.199003614	99.873698649		816
T	2025-02-19 10:49:33	19.198520417	99.874108515		817
T	2025-02-19 10:49:36	19.197976156	99.874535152		818
T	2025-02-19 10:49:39	19.197497124	99.874946058		819
T	2025-02-19 10:49:42	19.197062706	99.875358809		820
T	2025-02-19 10:49:45	19.196672192	99.875762411		821
T	2025-02-19 10:49:48	19.196336989	99.876145686		822
T	2025-02-19 10:49:51	19.196051300	99.876517228		823
T	2025-02-19 10:49:55	19.195803803	99.876902884		824
T	2025-02-19 10:50:01	19.195646454	99.877158501		825
T	2025-02-19 10:50:06	19.195543085	99.877320686		826
T	2025-02-19 10:50:12	19.195432070	99.877504503		827
T	2025-02-19 10:50:15	19.195238189	99.877481051		828
T	2025-02-19 10:50:19	19.195084870	99.877375774		829
T	2025-02-19 10:50:22	19.194943487	99.877242101		830
T	2025-02-19 10:50:25	19.194709372	99.877169833		831
T	2025-02-19 10:50:29	19.194377890	99.877322655		832
T	2025-02-19 10:50:32	19.194082038	99.877448497		833
T	2025-02-19 10:50:35	19.193765773	99.877573541		834
T	2025-02-19 10:50:38	19.193408461	99.877704633		835
T	2025-02-19 10:50:41	19.193001139	99.877814323		836
T	2025-02-19 10:50:44	19.192597945	99.877896956		837
T	2025-02-19 10:50:47	19.192190155	99.877969860		838
T	2025-02-19 10:50:50	19.191781093	99.878059828		839
T	2025-02-19 10:50:53	19.191366744	99.878139316		840
T	2025-02-19 10:50:56	19.190942677	99.878233713		841
T	2025-02-19 10:50:59	19.190554896	99.878293905		842
T	2025-02-19 10:51:09	19.190187490	99.878183659		843
T	2025-02-19 10:51:12	19.190229510	99.877948632		844
T	2025-02-19 10:51:19	19.190313416	99.877666127		845
T	2025-02-19 10:51:37	19.190497762	99.877653793		846
T	2025-02-19 10:51:46	19.190407637	99.877701822		847
T	2025-02-19 10:53:11	19.190375508	99.877723056		848
T	2025-02-19 10:53:12	19.190470789	99.877614639		849
T	2025-02-19 10:53:13	19.191482706	99.877738667		850
T	2025-02-19 10:53:13	19.190692301	99.877820564		851
T	2025-02-19 10:53:14	19.190741496	99.877907870		852
T	2025-02-19 10:53:19	19.190793151	99.877844504		853
T	2025-02-19 10:53:25	19.190878878	99.878058985		854
T	2025-02-19 10:53:36	19.191108247	99.878116510		855
T	2025-02-19 10:53:39	19.191317314	99.878116701		856
T	2025-02-19 10:53:42	19.191636649	99.878025746		857
T	2025-02-19 10:53:45	19.191933713	99.877974614		858
T	2025-02-19 10:54:03	19.192039174	99.877929013		859
T	2025-02-19 10:54:04	19.192039164	99.877929015		860
T	2025-02-19 10:54:17	19.191911352	99.877981118		861
T	2025-02-19 10:54:20	19.191680548	99.878040209		862
T	2025-02-19 10:54:24	19.191371441	99.878119697		863
T	2025-02-19 10:54:33	19.191354221	99.878453037		864
T	2025-02-19 10:54:36	19.191397426	99.878666066		865
T	2025-02-19 10:54:40	19.191437760	99.878891375		866
T	2025-02-19 10:54:46	19.191302276	99.879247692		867
T	2025-02-19 10:54:53	19.191117445	99.879277559		868
T	2025-02-19 10:54:58	19.190933674	99.879333120		869
T	2025-02-19 10:55:01	19.190834101	99.879661702		870
T	2025-02-19 10:55:05	19.190879141	99.879888837		871
T	2025-02-19 10:55:08	19.190918554	99.880090052		872
T	2025-02-19 10:55:11	19.191301542	99.880233657		873
T	2025-02-19 10:55:19	19.191184110	99.880460497		874
T	2025-02-19 10:55:25	19.191001933	99.880605039		875
T	2025-02-19 10:55:28	19.191025315	99.880817428		876
T	2025-02-19 10:55:31	19.191044878	99.881058811		877
T	2025-02-19 10:55:35	19.191196313	99.881378227		878
T	2025-02-19 10:55:40	19.191291173	99.881710602		879
T	2025-02-19 10:55:45	19.191477142	99.881921727		880
T	2025-02-19 10:55:48	19.191706873	99.882042702		881
T	2025-02-19 10:55:54	19.191868962	99.882130878		882
T	2025-02-19 10:57:40	19.191710654	99.882227446		883
T	2025-02-19 10:57:45	19.191801329	99.882154204		884
